Vehicle,Hour_00,Hour_01,Hour_02,Hour_03,Hour_04,Hour_05,Hour_06,Hour_07,Hour_08,Hour_09,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
V01,-5.31,3.67,9.29,11.32,28.00,19.26,24.86,28.16,3.95,2.87,9.92,5.81,4.27,4.48,-5.97,20.58,7.08,27.17,15.93,10.18,27.93,21.46,7.12,-2.08
V02,2.36,-3.28,7.55,13.02,13.50,13.47,15.57,2.42,6.18,3.93,4.62,13.30,13.90,14.44,15.96,18.37,21.44,-5.39,-1.74,11.13,19.04,23.13,29.95,14.55
V03,17.86,14.32,11.48,-3.41,16.61,12.68,22.53,12.31,17.04,4.19,9.38,-4.64,27.93,6.58,24.26,25.58,22.55,10.06,3.58,3.36,5.92,0.02,12.25,12.28
V04,12.00,23.87,-1.06,19.84,-5.84,14.96,12.58,8.07,16.94,9.91,22.55,14.92,0.23,6.72,16.16,-3.07,10.87,15.68,1.69,11.33,-5.30,6.55,0.69,17.21
V05,17.90,15.66,29.58,1.97,-5.71,7.84,-4.85,16.91,9.06,15.00,23.44,-4.41,29.38,11.24,-5.99,5.13,-0.95,4.46,-1.85,13.49,-5.32,25.87,21.53,8.36
V06,4.60,-5.15,14.18,-3.72,20.36,3.92,5.76,-3.77,20.63,22.59,20.26,15.71,25.27,4.83,7.22,5.70,1.71,-3.36,-0.73,-4.94,-3.91,1.27,4.55,-1.34
V07,3.20,-1.67,-3.63,22.78,26.11,28.35,13.98,23.61,27.12,8.35,18.03,4.05,29.72,8.89,4.11,-3.33,13.47,-2.06,-0.89,-2.93,-2.35,-3.01,-1.72,1.64
V08,3.46,9.54,-5.40,8.49,2.52,0.45,-0.67,18.50,12.12,7.70,15.74,-5.89,21.53,-4.18,16.55,5.71,-1.00,-2.68,-3.80,-1.05,-0.78,-5.93,4.79,1.66
V09,8.49,26.08,0.47,28.18,20.23,8.58,21.84,11.23,4.22,21.44,20.98,8.08,15.80,2.06,4.20,6.05,-1.91,-2.88,-5.91,18.82,8.07,19.94,29.91,6.94
V10,-3.09,-2.09,16.28,-2.66,25.73,24.55,0.56,19.56,13.02,-1.76,6.74,16.44,14.42,8.07,17.44,2.13,4.58,-2.71,-5.40,-2.27,1.29,-5.72,12.24,5.59
V11,7.83,19.39,-1.54,24.50,-5.95,1.29,3.24,6.65,12.19,1.85,-0.01,16.11,2.01,28.06,2.99,1.51,3.18,1.53,-1.78,-2.63,-3.70,10.55,-5.81,0.53
V12,18.99,14.99,11.71,-2.32,2.52,5.69,7.01,21.73,-3.74,4.80,-3.59,2.84,4.88,20.15,-5.83,-2.45,-2.49,-2.00,4.79,-1.76,12.36,-3.17,-1.47,10.07
V13,8.61,23.03,18.44,11.03,10.82,16.91,5.47,0.91,-0.98,16.85,28.18,27.66,12.69,16.62,10.17,12.40,-5.89,10.81,-2.01,0.72,-5.99,-3.08,-5.11,-4.48
V14,0.30,14.92,-1.09,5.60,5.42,28.80,-1.64,-0.67,12.01,24.22,10.03,13.67,21.64,6.09,14.41,11.74,5.95,14.17,3.58,2.13,22.83,3.86,8.84,16.40
V15,24.08,18.50,16.22,1.73,28.79,6.02,-3.82,28.90,9.94,26.90,5.07,7.31,8.91,24.71,29.37,8.58,1.50,-0.50,3.82,-1.41,4.60,-2.51,13.47,-1.64
V16,13.50,1.07,21.05,15.55,6.43,6.77,-3.02,0.77,9.28,-1.89,-4.32,11.10,10.89,23.11,-5.59,1.55,1.34,0.42,-0.69,2.25,-3.43,0.40,3.28,-5.02
V17,21.81,25.27,10.02,10.05,22.91,4.14,15.67,15.57,1.78,23.05,26.17,22.05,3.15,23.51,13.52,29.53,3.38,-1.63,-0.23,-3.78,4.09,-1.50,9.07,0.38
V18,18.21,27.63,-2.46,3.08,22.57,15.53,3.01,-5.59,-3.46,23.38,17.38,7.84,12.48,9.02,16.16,17.83,1.21,-3.90,-0.06,-1.10,-4.32,2.16,1.42,3.54
V19,8.82,4.31,1.95,-4.18,-5.32,11.46,5.98,9.76,29.42,18.46,9.50,1.70,5.32,19.02,-4.31,-2.12,-4.13,0.75,0.93,2.21,-4.04,3.38,1.49,-3.73
V20,6.20,1.25,19.88,14.75,10.26,28.77,9.51,8.43,3.62,26.26,-3.01,20.11,20.47,11.00,9.69,19.88,-2.97,2.45,5.65,-2.90,-0.65,2.17,2.91,25.15
V21,28.82,25.78,-1.09,28.88,7.88,16.85,6.45,6.34,-2.09,11.62,14.42,24.64,10.93,0.50,-4.16,16.64,-3.36,-1.75,8.13,-3.61,-4.91,1.99,-1.86,5.15
V22,5.29,18.76,-3.01,3.20,6.70,-3.66,22.97,8.94,20.80,4.92,23.88,10.39,-4.54,1.26,-3.14,3.50,-1.73,-2.27,-5.51,2.70,-1.55,3.90,-4.88,5.49
V23,7.72,1.12,11.87,14.62,9.80,3.54,14.09,21.01,10.21,4.70,26.71,17.02,27.10,18.34,-3.33,21.55,-0.10,-1.80,-5.75,0.08,1.81,-4.71,-3.89,-0.36
